pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2024-07-04,92.9,2.18,5.15,"Bummer, Aaron",624585,607481,,ball,,,,,14,,R,R,L,ATL,SF,B,,,1,0,2024,1.27,0.19,1.3160192632504046,2.654497501242334,,,689172,1,9,Top,,,,,,,-5.019805873100243,-135.14899058143226,-0.986537456087271,16.711173860025692,31.33769938917369,-29.80880594794462,3.57293191945842,1.74618068157817,,,,92.7,2274,6.3,747103,669221,621566,645277,663586,670097,657088,672284,594807,54.16,,,,,,,,67,2,Sinker,2,4,4,2,4,2,4,2,Standard,Standard,116,-0.003,0.056,,,,,-0.056,,-2,2,0.075,0.925,30,32,31,32,1,4,2,1,3,1,2.46,1.27,-1.27,2.5,,,,,
CU,2024-07-04,83.0,2.06,5.38,"Bummer, Aaron",624585,607481,,ball,,,,,14,,R,R,L,ATL,SF,B,,,0,0,2024,-0.82,-0.63,0.6379389552743915,1.1580848198398104,,,689172,1,9,Top,,,,,,,-1.6438963268170956,-120.88156254719982,-1.9045961498446256,-7.674087854187352,25.53003041358952,-38.187321102386505,3.55066439923452,1.74618068157817,,,,82.7,2474,6.2,747103,669221,621566,645277,663586,670097,657088,672284,594807,54.28,,,,,,,,67,1,Curveball,2,4,4,2,4,2,4,2,Standard,Standard,301,-0.001,0.036,,,,,-0.036,,-2,2,0.076,0.924,30,32,31,32,1,4,2,1,3,1,3.96,-0.82,0.82,11.9,,,,,
FF,2024-07-04,94.2,2.04,5.41,"Bummer, Aaron",605113,607481,field_out,hit_into_play,,,,,5,Nick Ahmed lines out to center fielder Jarred Kelenic.,R,R,L,ATL,SF,X,8,line_drive,0,2,2024,0.95,1.05,0.1648145284091167,2.9242507452360456,,,689172,0,9,Top,130.31,84.16,,,,,-6.962528366821272,-136.9750828567776,-3.084527833892849,13.471519639661572,30.038173725860595,-18.427408476725365,3.68,1.77,332,94.5,19,94.1,2390,6.3,747103,669221,621566,645277,663586,670097,657088,672284,594807,54.24,0.366,0.393,0.0,1,0,0,4,66,6,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,122,0.007,-0.155,63.1,6.2,,0.57,0.155,94.5,-2,2,0.069,0.931,30,34,31,34,1,3,2,1,3,1,1.52,0.95,-0.95,9.9,4.772588084614079,10.203451643675246,24.838150159377907,36.42969502533607,27.98631395618552
FF,2024-07-04,94.1,2.18,5.14,"Bummer, Aaron",605113,607481,,foul,,,,,12,,R,R,L,ATL,SF,S,,,0,2,2024,0.77,0.64,0.8538516805315002,2.779693508340709,,,689172,0,9,Top,,,,,,,-5.138224078602317,-137.0468537606588,-1.820365252405084,10.899609134042803,30.38197543203037,-23.97614871955684,3.68,1.77,233,77.2,37,94.0,2282,6.2,747103,669221,621566,645277,663586,670097,657088,672284,594807,54.33,,,,,,,,66,5,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,122,0.0,0.0,53.4,5.7,,,0.0,88.0,-2,2,0.069,0.931,30,34,31,34,1,3,2,1,3,1,1.94,0.77,-0.77,8.7,-11.776251816036966,27.10764122361087,27.23940432996911,45.109582648506105,12.37585434070818
ST,2024-07-04,82.9,2.09,5.44,"Bummer, Aaron",605113,607481,,foul,,,,,13,,R,R,L,ATL,SF,S,,,0,2,2024,-0.62,-0.51,-0.3287729198199018,0.743160053480123,,,689172,0,9,Top,,,,,,,-4.324784968680033,-120.67256545733868,-3.232641110900344,-5.180046872425762,24.376126982117967,-36.75056368224237,3.68,1.77,,,,83.0,2444,6.4,747103,669221,621566,645277,663586,670097,657088,672284,594807,54.09,,,,,,,,66,4,Sweeper,2,4,4,2,4,2,4,2,Standard,Standard,301,0.0,0.0,54.9,7.9,,,0.0,,-2,2,0.069,0.931,30,34,31,34,1,3,2,1,3,1,3.84,-0.62,0.62,12.4,14.334231814174226,-15.066578655494242,39.40428821939704,31.07814127280873,41.02352489079091
CU,2024-07-04,83.5,2.06,5.44,"Bummer, Aaron",605113,607481,,foul,,,,,14,,R,R,L,ATL,SF,S,,,0,2,2024,-0.89,-0.74,0.1696885541902857,1.421687991934141,,,689172,0,9,Top,,,,,,,-2.603360948491843,-121.56372610876204,-1.3123153740818672,-8.231966164927957,25.65178674370994,-39.394033817795545,3.68,1.77,,,,83.4,2523,6.4,747103,669221,621566,645277,663586,670097,657088,672284,594807,54.13,,,,,,,,66,3,Curveball,2,4,4,2,4,2,4,2,Standard,Standard,303,0.0,0.0,60.6,7.8,,,0.0,,-2,2,0.069,0.931,30,34,31,34,1,3,2,1,3,1,4.02,-0.89,0.89,13.5,22.689494081367503,-12.71957773401902,34.39282673117852,38.654454477395554,46.130624353327086
FF,2024-07-04,93.0,2.16,5.14,"Bummer, Aaron",605113,607481,,called_strike,,,,,5,,R,R,L,ATL,SF,S,,,0,1,2024,0.94,0.94,-0.2205443086876203,2.5963213965068253,,,689172,0,9,Top,,,,,,,-8.155071788438532,-135.31425043773564,-2.818049522295481,13.297918182514492,28.496465753188488,-20.18134746011001,3.68742077902607,1.70456418832955,,,,93.0,2312,6.2,747103,669221,621566,645277,663586,670097,657088,672284,594807,54.26,,,,,,,,66,2,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,124,0.002,-0.048,,,,,0.048,,-2,2,0.067,0.933,30,34,31,34,1,3,2,1,3,1,1.69,0.94,-0.94,7.7,,,,,
SI,2024-07-04,94.2,2.17,5.16,"Bummer, Aaron",605113,607481,,called_strike,,,,,5,,R,R,L,ATL,SF,S,,,0,0,2024,1.11,0.06,0.0796016354601112,2.622767047559929,,,689172,0,9,Top,,,,,,,-7.914280273834064,-137.0437830108969,-1.0448001378557623,15.712402056739585,28.680211683473573,-31.37612257643045,3.68742077902607,1.81659081501622,,,,94.7,2234,6.4,747103,669221,621566,645277,663586,670097,657088,672284,594807,54.05,,,,,,,,66,1,Sinker,2,4,4,2,4,2,4,2,Standard,Standard,111,0.002,-0.042,,,,,0.042,,-2,2,0.065,0.935,30,34,31,34,1,3,2,1,3,1,2.5,1.11,-1.11,5.5,,,,,
SI,2024-07-04,92.8,2.33,5.1,"Bummer, Aaron",689172,607481,hit_by_pitch,hit_by_pitch,,,,,12,Brett Wisely hit by pitch.,R,L,L,ATL,SF,B,,,1,1,2024,1.16,-0.08,1.5086936057003355,3.197194009678629,,,,0,9,Top,,,,,,,-4.634000724581577,-135.04002851491174,1.1259399490015671,15.248362184714985,30.560632981023584,-33.681523337023094,3.48,1.63,,,,92.5,2214,6.2,747103,669221,621566,645277,663586,670097,657088,672284,594807,54.32,,0.720192,0.7,1,0,0,,65,3,Sinker,2,4,4,2,4,2,4,2,Strategic,Standard,115,-0.011,0.462,,,,,-0.462,,-2,2,0.076,0.924,30,25,31,25,1,3,2,1,3,1,2.74,1.16,1.16,4.0,,,,,
FF,2024-07-04,93.1,2.26,5.08,"Bummer, Aaron",689172,607481,,called_strike,,,,,9,,R,L,L,ATL,SF,S,,,1,0,2024,1.08,0.83,0.4977490408158338,2.0354319901393,,,,0,9,Top,,,,,,,-6.912000983553061,-135.43816901087294,-3.836667176268287,14.863354776999698,30.151736340408487,-21.34500753522117,3.37563771683556,1.62913879240033,,,,93.0,2233,6.3,747103,669221,621566,645277,663586,670097,657088,672284,594807,54.2,,,,,,,,65,2,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,113,0.001,-0.049,,,,,0.049,,-2,2,0.075,0.925,30,25,31,25,1,3,2,1,3,1,1.81,1.08,1.08,2.6,,,,,
